Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2010-01-04,85.0279312133789,85.0729454920576,83.66244276054559,84.3076741340476,118944600
2010-01-05,85.25302124023438,85.29053696087703,84.66781263241886,84.9754255142218,111579900
2010-01-06,85.31306457519531,85.52313892337453,85.1029902270161,85.17051167146083,116074400
2010-01-07,85.67317199707031,85.77820914158733,84.9153991195447,85.15548483902573,131091100
2010-01-08,85.95828247070312,85.99579819435543,85.27554094817823,85.44809953914897,126402800
2010-01-11,86.07835388183594,86.37845686418345,85.71071799749453,86.34094685343875,106375700
2010-01-12,85.27552795410156,85.68817223092032,84.94540795337065,85.5081093778375,163333500
2010-01-13,85.99578094482422,86.23586664539218,85.05794528259085,85.49309667955522,161822000
2010-01-14,86.22838592529297,86.38594167271995,85.84574726777245,85.89826585024811,115718800
2010-01-15,85.26051330566406,86.16083323105892,84.93039332844185,86.07830896084785,212283100
2010-01-19,86.32592010498047,86.37843868824996,85.22302413222486,85.24553700285145,139172700
2010-01-20,85.44808959960938,85.86823817998271,84.7653481565027,85.7406938929544,216490200
2010-01-21,83.80504608154297,85.73323720722486,83.70000887812826,85.47064419868808,344859600
2010-01-22,81.93685913085938,83.83503837560188,81.84682480960274,83.42989251609248,345942400
2010-01-25,82.35700988769531,82.83718722218961,82.08691836543186,82.6871300163798,186937500
2010-01-26,82.01187133789062,82.88218579414519,81.80930130360848,82.03437848346685,211168800
2010-01-27,82.40203094482422,82.58959816136579,81.27662764557482,81.90685074558783,271863600
2010-01-28,81.45665740966797,82.71710882066088,80.96148313611442,82.67209453872734,316104000
2010-01-29,80.57135009765625,82.37950029693044,80.4438058005718,81.80929451854124,310677600
2010-02-01,81.82429504394531,81.83179933300008,80.65387781159914,81.14155356644184,187865000
2010-02-02,82.81466674804688,82.9722225066149,81.68926356619254,81.97436936901745,216327900
2010-02-03,82.40203094482422,82.88970685265173,82.1619451366149,82.43954095367422,172730700
2010-02-04,79.85858917236328,81.80178203934382,79.84358059532919,81.76427204494857,356715700
2010-02-05,80.02366638183594,80.18872069603596,78.4631060322486,79.94863492872223,493585800
2010-02-08,79.44597625732422,80.52636534439445,79.38595336935417,80.08370370073743,224166900
2010-02-09,80.4438247680664,81.14157500805953,79.73106594599774,80.37629759692028,337820500
2010-02-10,80.28621673583984,80.72887230925939,79.61097408443506,80.31622815635708,240511500
2010-02-11,81.12654113769531,81.21657542979288,79.7160382394041,80.18120682909885,223591600
2010-02-12,81.05902099609375,81.10403528080825,79.91111094311263,80.27123666901896,304622100
2010-02-16,82.33448791503906,82.41701793235218,80.89397334318562,81.67425350063026,159317500
2010-02-17,82.72461700439453,82.83715843862265,82.33447412894972,82.73211556900665,168845100
2010-02-18,83.21231842041016,83.38487704527164,82.55958247969404,82.58959391969101,193708600
2010-02-19,83.3848648071289,83.7074805846259,82.7996561233195,82.99472759262132,222684900
2010-02-22,83.39990234375,83.71501394073292,83.15231220722141,83.69250678724813,132346900
2010-02-23,82.38700866699219,83.42988175968098,82.16943004507993,83.17479313515393,207497000
2010-02-24,83.1447525024414,83.27980105744427,82.42449545045751,82.63456970844103,176350700
2010-02-25,83.03223419189453,83.09225706061973,81.73427256926293,81.95934974083872,259634700
2010-02-26,83.08475494384766,83.36986071570058,82.612087719491,83.10726208918426,173589300
2010-03-01,83.94758605957031,84.03011609580648,83.40739154024169,83.42989869119748,147709700
2010-03-02,84.18013763427734,84.58528337962613,84.03008619856092,84.30768765114121,160992400
2010-03-03,84.25517272949219,84.75785135744302,84.04509269664672,84.39771988237496,150785000
2010-03-04,84.51026916503906,84.63031490922873,84.05260478248415,84.36771627483785,135770400
2010-03-05,85.71822357177734,85.78574502658653,84.85541317437539,85.05798898699807,176118800
2010-03-08,85.73321533203125,85.92078253657013,85.58316385803887,85.72571676519941,114631200
2010-03-09,85.87577056884766,86.2734121374019,85.4331147016939,85.4781290002934,154556700
2010-03-10,86.25839233398438,86.49097379652108,85.83824369866754,85.91326942296043,186088800
2010-03-11,86.6185302734375,86.64104314557555,85.7932357420387,86.05582867601605,160791100
2010-03-12,86.62602996826172,87.00866863695472,86.38594419506336,86.99366005632564,162074800
2010-03-15,86.64854431152344,86.7085671908322,85.98080552047985,86.47598568863181,146816800
2010-03-16,87.33879089355469,87.4213151926815,86.64853926986012,86.88862504902886,168673000
2010-03-17,87.85646057128906,88.14156633080017,87.34627764405919,87.60137196972198,177468100
2010-03-18,87.81143951416016,87.98399809036769,87.45881234874223,87.8639580883227,196509100
2010-03-19,87.36697387695312,88.36140672718497,87.0279591510321,87.36697387695312,226641100
2010-03-22,87.83406829833984,87.99227864766915,86.81703543185823,86.86977029907817,184477800
2010-03-23,88.45182800292969,88.52716270659744,87.67586388691042,87.96214380758512,182941600
2010-03-24,88.02236938476562,88.46685371183342,87.07314219048574,88.12030962933437,196072600
2010-03-25,87.87922668457031,89.02432850890406,87.77375700657903,88.61751443050925,223396300
2010-03-26,87.82653045654297,88.45934880269506,87.47998625541175,88.04500509919136,205808500
2010-03-29,88.38401794433594,88.54222253774375,87.90940416411247,88.27101302113917,134513500
2010-03-30,88.44426727294922,88.76821157809502,88.07512330818655,88.48946693256609,145772500
2010-03-31,88.1429214477539,88.53466523632568,87.84911216940814,88.1052512335382,161078700
2010-04-01,88.7456283569336,89.08463736284091,88.21827398948247,88.7456283569336,161215200
2010-04-05,89.46885681152344,89.52912112312117,88.83603268455906,89.08464236828326,105847600
2010-04-06,89.67974853515625,89.83795304576849,89.11472996254136,89.21266444596813,110384200
2010-04-07,89.16748809814453,89.92084639181073,88.75313873756106,89.4989675866113,184576300
2010-04-08,89.47637176513672,89.62704688889826,88.59494384488771,88.85861812688508,158704000
2010-04-09,90.06399536132812,90.1016598311974,89.49897658427506,89.66471059750265,133006500
2010-04-12,90.20712280273438,90.44066778821332,90.07151807646743,90.17698778048974,110279000
2010-04-13,90.27493286132812,90.43313742581138,89.64964404860758,90.11672829684487,125043600
2010-04-14,91.29949951171875,91.29949951171875,90.46327129040324,90.60640546729114,161609000
2010-04-15,91.37484741210938,91.58578685922544,91.11870254941924,91.14883757724566,144615300
2010-04-16,89.92085266113281,91.37483449918754,89.46130361014305,91.05089018041882,366786700
2010-04-19,90.25984191894531,90.3502469699181,89.25034471424983,89.65715882212716,217947800
2010-04-20,91.06597137451172,91.1413118209624,90.30508344484778,90.82489688980915,157708000
2010-04-21,90.90023040771484,91.32964448047538,90.39547589424616,91.11869929322873,192910100
2010-04-22,91.1714096069336,91.2844144899027,89.74003358154866,90.25984684693915,115360300
2010-04-23,91.76658630371094,91.80425652336902,90.87762314786463,91.11116816394133,177335500
2010-04-26,91.42003631591797,92.00012547485441,91.3296369907515,91.79671549789346,143457300
2010-04-27,89.25789642333984,91.41249593408338,89.08462148049273,90.89268260087773,355853300
2010-04-28,89.93589782714844,90.1619075811397,89.09966978411425,89.6872939949582,300674100
2010-04-29,91.05087280273438,91.23921235333616,90.45571913311275,90.47831895955825,193775000
2010-04-30,89.50650024414062,91.16389199830037,89.48390041414623,91.06595173810082,270000900
2010-05-03,90.6666488647461,90.91525842453261,89.80028587461108,89.93589056652496,182747900
2010-05-04,88.53466033935547,89.67223292326987,88.08264653210713,89.65716828701747,360353400
2010-05-05,88.00733947753906,88.74563333431095,87.36698590398328,87.81146465877603,328973200
2010-05-06,85.08428955078125,88.14292245660285,79.10262271746409,87.5854389153696,647356600
2010-05-07,83.81867980957031,85.70960576546469,82.42496754304811,84.8583126129267,637558800
2010-05-10,87.51009368896484,87.87923760781831,86.56839591294379,87.24641371354528,396159600
2010-05-11,87.26150512695312,88.41414256296542,86.56841677620525,86.68895113179822,317849800
2010-05-12,88.48194122314453,88.61001651856517,87.45737334578992,87.60804847344113,235607100
2010-05-13,87.38201904296875,88.65519628443288,87.30668436988616,88.24084696097795,234452500
2010-05-14,85.79995727539062,86.88479482575717,85.03153450899192,86.72659030760646,345601400
2010-05-17,85.84516906738281,86.2745830338682,84.20284787583628,86.0335086272039,325739800
2010-05-18,84.6775131225586,86.80198427845187,84.39876835384194,86.54583934953136,360556800
2010-05-19,84.19532012939453,84.95620782809308,83.14061742359705,84.20284957361878,394742700
2010-05-20,81.01616668701172,82.78655785748575,80.96343182653526,82.40234344677512,530418300
2010-05-21,82.19893646240234,82.40234070384977,79.37384242876924,79.7881918527695,500909400
2010-05-24,81.14423370361328,82.40987606313473,81.0688990120985,81.75445217685215,269823000
2010-05-25,81.22708129882812,81.2647515080826,78.63552723866162,79.18548125637535,396505200
2010-05-26,80.73741149902344,82.47013797109116,80.49633706138226,81.72431482771188,349719300
2010-05-27,83.44197082519531,83.47210584832675,81.9503187923628,82.25919846870909,300870500
2010-05-28,82.39480590820312,83.41183854474161,82.00305634228118,83.35156849649698,297933500
2010-06-01,81.00862884521484,82.83175481656875,80.88809448849541,81.6263825110318,277909400
2010-06-02,83.1180419921875,83.12557143862178,80.9935713209074,81.4229854220916,240243700
2010-06-03,83.40431213378906,83.66798643803753,82.55301916645298,83.3591124666804,226618300
2010-06-04,80.47370910644531,82.3646394785164,80.20249974042453,81.82222074647481,398475600
2010-06-07,79.4718017578125,81.06892415248693,79.41153743451314,80.7600443495201,264609100
2010-06-08,80.32305908203125,80.48126362559482,78.83894240255309,79.53203061654605,357774300
2010-06-09,79.89363861083984,81.57362416136142,79.55462397562681,80.79013095146937,268023300
2010-06-10,82.22905731201172,82.32699181913287,79.88611260423399,81.25722444226783,317890600
2010-06-11,82.62835693359375,82.68109179640452,81.45311956371442,81.50585442652519,214128200
2010-06-14,82.50029754638672,83.7132052882625,82.41742764494155,83.2611855539545,207196100
2010-06-15,84.37615203857422,84.45148673907481,82.93723454403516,83.08037449835476,238268700
2010-06-16,84.34598541259766,84.69252950321939,83.7734315574688,83.93917128508507,216374000
2010-06-17,84.48159790039062,84.62473781426918,83.66044012589651,84.58706760082715,263185800
2010-06-18,84.57320404052734,84.87597647770583,84.30070422705546,84.64889714982196,174006600
2010-06-21,84.33097839355469,85.68590057446845,83.86167189945809,85.62534955507999,213140700
2010-06-22,82.9382095336914,84.7018873708378,82.81710170743584,84.33098707322378,239355400
2010-06-23,82.6808090209961,83.28635938903874,82.11310230251223,82.99115235742804,254639900
2010-06-24,81.31078338623047,82.37807536442668,81.09884035439379,82.27210384850834,268523600
2010-06-25,81.6513900756836,82.06770498833569,80.8187487003534,81.55298385404657,238726500
2010-06-28,81.39401245117188,81.99199761889095,81.09880538767932,81.77248363770202,169218600
2010-06-29,78.88098907470703,81.37890200973357,78.38140995271003,80.25105335739595,373649500
